,year,month,intent,police,sex,age,race,hispanic,place,education
397,12,5,0,0,0,61,1,100,1,4
398,12,5,0,0,0,44,1,100,0,4
399,12,5,0,0,0,34,1,100,0,2
400,12,5,0,0,0,58,1,100,2,4
401,12,5,0,0,0,74,1,100,0,2
402,12,5,0,0,0,67,1,100,0,2
403,12,5,0,0,0,73,1,100,0,2
404,12,5,0,0,0,55,1,100,0,2
405,12,4,0,0,1,55,1,100,0,2
406,12,5,0,0,0,22,3,100,0,1
407,12,6,1,0,0,33,1,100,0,1
408,12,6,0,0,0,40,1,100,0,3
409,12,6,0,0,0,25,1,100,0,2
410,12,5,0,0,0,52,1,100,0,1
411,12,6,0,0,0,47,1,100,5,3
412,12,4,1,0,0,32,3,100,1,1
413,12,5,1,0,0,33,3,100,1,2
414,12,4,0,0,0,23,1,100,5,2
415,12,6,0,0,0,17,3,100,0,1
416,12,5,0,0,1,69,1,100,0,2
417,12,6,1,0,0,22,3,100,3,2
418,12,4,1,0,0,45,1,100,0,1
419,12,6,1,0,0,53,1,100,0,2
420,12,5,0,0,0,78,1,100,0,3
421,12,6,0,0,0,68,1,100,0,4
422,12,5,1,0,0,33,3,100,0,1
423,12,6,0,0,0,55,1,100,0,2
424,12,5,0,0,0,30,1,100,5,3
425,12,5,1,0,0,71,1,100,5,1
426,12,5,0,0,0,64,1,100,0,4
427,12,6,0,0,0,45,1,100,0,2
428,12,5,0,0,0,60,1,100,0,3
429,12,5,2,0,1,20,3,100,0,1
430,12,5,0,0,0,60,1,100,0,2
431,12,5,0,0,1,30,1,100,0,3
432,12,6,1,0,0,13,1,100,0,1
433,12,6,1,0,0,3,1,100,5,0
434,12,5,0,0,0,34,3,100,1,3
435,12,5,0,0,0,26,3,100,0,2
436,12,5,0,0,0,64,1,100,0,2
437,12,5,0,0,0,48,1,100,0,1
438,12,6,0,0,1,39,1,100,0,2
439,12,5,1,0,0,32,3,100,3,2
440,12,6,0,0,0,63,1,100,0,1
441,12,6,1,0,1,29,1,100,0,1
442,12,6,1,0,0,42,1,100,0,2
443,12,6,1,0,0,20,3,100,0,1
444,12,6,1,0,1,18,1,100,0,3
445,12,6,0,0,0,55,1,100,0,1
446,12,6,1,0,0,20,3,100,0,3
447,12,6,0,0,0,82,1,100,0,4
448,12,5,1,0,0,27,3,100,3,2
449,12,4,0,0,1,36,1,100,5,3
450,12,6,0,0,0,49,1,100,0,4
451,12,6,0,0,0,43,1,100,0,2
452,12,6,1,0,0,50,1,100,5,2
453,12,6,0,0,0,80,1,100,0,4
454,12,6,0,0,0,63,1,100,0,3
455,12,6,0,0,1,28,1,100,5,2
456,12,6,0,0,0,35,1,100,5,1
457,12,5,1,0,0,31,1,100,1,2
458,12,5,0,0,1,45,1,100,0,1
459,12,6,1,0,0,24,3,100,2,1
460,12,6,1,0,1,65,3,100,0,2
461,12,5,1,0,0,17,3,100,1,1
462,12,6,0,0,1,48,1,100,0,4
463,12,5,2,0,1,25,1,100,5,3
464,12,6,0,0,0,58,1,100,0,2
465,12,6,0,0,0,65,1,100,0,3
466,12,6,0,0,0,20,1,100,1,2
467,12,6,0,0,0,60,1,100,0,3
468,12,6,0,0,0,66,1,100,0,2
469,12,6,0,0,0,75,1,100,0,1
470,12,5,1,0,0,58,3,100,1,3
471,12,6,1,0,1,54,3,100,0,2
472,12,5,0,0,0,56,1,100,0,3
473,12,6,1,0,0,23,3,100,0,2
474,12,6,1,0,0,25,3,100,1,2
475,12,6,0,0,0,69,1,100,0,4
476,12,6,1,0,0,34,3,100,2,1
477,12,6,1,0,0,22,3,100,0,1
478,12,6,0,0,0,43,1,100,0,2
479,12,6,0,0,0,19,1,100,0,2
480,12,5,1,0,0,38,3,100,0,3
481,12,6,0,0,1,61,1,100,0,3
482,12,7,0,0,0,65,1,100,0,2
483,12,6,0,0,0,72,1,100,0,2
484,12,6,1,0,0,33,3,100,5,1
485,12,6,1,0,0,33,3,100,0,1
486,12,6,0,0,0,39,1,100,5,2
487,12,6,1,0,0,59,1,100,0,1
488,12,7,0,0,0,29,1,100,0,3
489,12,5,0,0,0,37,1,100,2,3
490,12,7,0,0,0,66,1,100,0,4
491,12,6,0,0,0,75,1,100,1,2
492,12,7,1,0,1,20,3,100,2,3
493,12,6,0,0,1,51,1,100,0,4
494,12,6,1,0,0,31,3,100,4,1
495,12,4,1,0,1,5,1,100,0,0
496,12,7,1,0,1,40,1,100,0,3
497,12,7,1,0,0,55,1,100,0,2
498,12,6,1,0,0,22,3,100,1,1
499,12,6,0,0,0,56,1,100,0,2
500,12,7,0,0,0,29,1,100,0,2
501,12,7,1,0,0,63,3,100,0,3
502,12,7,0,0,0,79,1,100,0,2
503,12,4,1,0,0,20,3,100,0,1
504,12,7,0,0,0,17,1,100,0,1
505,12,6,1,0,0,28,3,100,1,1
506,12,7,0,0,0,69,1,100,0,1
507,12,7,0,0,0,18,1,100,0,3
508,12,7,0,0,0,45,1,100,0,2
509,12,6,1,0,0,25,3,100,1,2
510,12,6,0,0,0,48,3,100,3,2
511,12,6,1,0,0,30,3,100,0,2
512,12,6,0,0,1,54,1,100,0,2
513,12,6,1,0,0,57,3,100,0,2
514,12,7,0,0,0,50,1,100,0,1
515,12,6,1,0,0,22,3,100,0,1
516,12,7,0,0,0,81,1,100,5,3
517,12,7,0,0,1,49,1,100,0,2
518,12,6,0,0,0,44,1,100,0,4
519,12,7,0,0,0,80,1,100,0,4
520,12,7,1,0,0,18,3,100,5,1
521,12,7,0,0,0,52,1,100,1,2
522,12,7,0,0,0,54,1,100,0,2
523,12,7,0,0,1,41,1,100,0,3
524,12,6,0,0,0,81,1,100,0,1
525,12,7,0,0,0,91,1,100,0,2
526,12,7,1,0,0,19,1,100,1,2
527,12,6,0,0,0,40,1,100,0,2
528,12,7,1,0,1,25,3,100,0,2
529,12,6,0,0,0,17,1,100,0,1
530,12,6,1,0,0,22,3,100,1,1
531,12,7,0,0,0,28,1,100,0,3
532,12,7,1,0,0,50,1,100,1,1
533,12,7,0,0,0,48,1,100,0,2
534,12,7,0,0,0,27,1,100,0,3
535,12,7,1,0,0,19,3,100,2,2
536,12,7,0,0,0,56,1,100,0,2
537,12,6,0,0,1,37,1,100,0,3
538,12,7,0,0,0,73,1,100,0,1
539,12,7,1,0,0,65,3,100,0,1
540,12,7,0,0,0,27,1,100,0,4
541,12,7,0,0,0,40,1,100,0,2
542,12,7,0,0,0,43,1,100,0,2
543,12,7,0,0,0,45,1,100,0,3
544,12,7,2,0,0,59,1,100,5,2
545,12,7,0,0,0,66,1,100,0,2
546,12,7,0,0,0,65,3,100,0,2
547,12,6,0,0,0,33,0,100,5,3
548,12,7,1,0,0,37,1,100,0,3
549,12,7,0,0,0,71,1,100,0,2
550,12,7,0,0,0,38,1,100,1,1
551,12,8,0,0,1,52,1,100,0,3
552,12,8,0,0,0,89,1,100,0,2
553,12,7,1,0,0,28,3,100,3,3
554,12,6,0,0,0,57,1,100,0,3
555,12,7,1,0,1,46,3,100,5,2
556,12,7,1,0,0,12,3,100,0,1
557,12,8,0,0,0,89,1,100,0,4
558,12,7,0,0,0,20,1,100,0,2
559,12,7,0,0,1,38,1,100,0,4
560,12,7,1,0,0,25,3,100,1,2
561,12,7,2,0,0,53,1,100,0,2
562,12,7,1,0,1,41,3,100,0,2
563,12,8,0,0,0,79,1,100,0,3
564,12,8,1,0,1,55,1,100,1,3
565,12,7,1,0,0,42,3,100,1,3
566,12,8,0,0,0,49,1,100,0,2
567,12,7,1,0,0,80,3,100,0,4
568,12,7,0,0,0,50,1,100,0,1
569,12,8,1,0,1,73,3,100,0,2
570,12,7,0,0,1,49,1,100,5,2
571,12,8,0,0,1,48,1,100,0,2
572,12,8,0,0,0,64,1,100,0,2
573,12,8,0,0,0,65,1,100,0,3
574,12,8,0,0,0,61,1,100,3,2
575,12,8,1,0,0,20,1,100,2,3
576,12,8,1,0,0,59,1,100,2,3
577,12,7,0,0,1,31,1,100,5,1
578,12,6,1,0,0,38,3,100,5,3
579,12,7,0,0,0,83,1,100,0,1
580,12,8,0,0,0,29,1,100,0,1
581,12,3,1,0,0,34,3,100,0,1
582,12,8,0,0,1,46,1,100,0,1
583,12,8,1,0,1,31,1,100,2,1
584,12,8,0,0,0,84,3,100,0,2
585,12,7,0,0,1,48,3,100,0,2
586,12,7,0,0,0,41,1,100,5,3
587,12,8,0,0,0,58,1,100,2,1
588,12,8,0,0,1,31,1,100,2,3
589,12,8,0,0,1,65,1,100,0,2
590,12,8,0,0,0,52,1,100,0,1
591,12,8,1,0,0,72,1,100,0,3
592,12,7,0,0,0,75,1,100,0,2
593,12,8,1,0,0,52,3,100,2,2
594,12,8,0,0,0,17,3,100,0,2
595,12,8,0,0,0,52,1,100,0,4
596,12,8,0,0,0,55,1,100,0,1
597,12,8,0,0,1,49,1,100,0,2
598,12,6,1,0,0,35,3,100,0,3
599,12,7,0,0,0,65,1,100,0,1
600,12,8,0,0,0,63,1,100,5,1
601,12,8,0,0,1,53,3,100,0,1
602,12,8,0,0,0,77,1,100,0,4
603,12,8,0,0,0,52,1,100,1,3
604,12,8,1,0,0,42,4,211,1,1
605,12,7,1,0,0,32,3,100,0,2
606,12,8,0,0,0,61,1,100,5,1
607,12,7,0,0,1,27,1,100,0,4
608,12,8,1,0,0,53,3,100,1,2
609,12,8,0,0,0,73,1,100,1,4
610,12,8,0,0,0,23,1,100,0,2
611,12,8,2,0,0,61,1,100,0,1
612,12,8,0,0,0,82,1,100,0,2
613,12,8,0,0,0,28,1,100,0,2
614,12,8,0,0,0,22,1,100,0,4
615,12,5,1,0,0,28,3,100,5,3
616,12,8,0,0,0,64,3,100,0,2
617,12,8,1,0,1,33,1,100,0,2
618,12,8,0,0,0,55,1,100,0,3
619,12,8,0,0,1,62,1,100,0,1
620,12,8,1,0,0,12,3,100,0,1
621,12,7,0,0,0,63,1,100,0,1
622,12,8,0,0,0,29,1,100,1,2
623,12,9,0,0,0,47,1,100,0,2
624,12,8,0,0,1,78,1,100,0,1
625,12,8,0,0,0,24,1,100,4,2
626,12,8,0,0,0,65,1,100,0,2
627,12,8,0,0,0,60,1,100,0,1
628,12,9,0,0,0,55,1,100,0,2
629,12,8,2,0,0,34,1,100,0,2
630,12,8,1,0,0,22,3,100,1,2
631,12,9,0,0,0,46,1,100,0,1
